ObjectID,Total_TravelTime,Total_Kilometers,Origin_School,Dest_School,,,
495,29.52178991,27.8683799,424,473,897,,
496,31.44526778,29.3262029,424,316,740,,
497,31.5669371,29.22586709,424,516,940,,
498,31.62968375,29.07360295,424,408,832,,
499,31.62968375,29.07360295,424,158,582,,
500,33.56263758,35.59051656,424,984,1408,,
501,33.92744078,32.00650767,424,982,1406,,
502,34.78914246,31.48202471,424,450,874,,
503,34.89513415,36.55344248,424,394,818,,
504,35.35218238,31.89092435,424,604,1028,,
505,0,0,301,301,602,,
506,5.724982625,3.686269372,301,438,739,,
507,5.798267728,3.703195635,301,181,482,,
508,8.625515512,5.12063724,301,971,1272,,
509,8.740141079,5.19462362,301,161,462,,
510,8.874047871,6.0190518,301,533,834,,
511,9.053730601,5.809126684,301,275,576,,
512,9.544667932,6.202747312,301,292,593,,
513,10.00725478,7.207947381,301,509,810,,
514,10.87779214,7.036586055,301,179,480,,
515,11.41555838,11.43291271,301,981,1282,,
516,11.67926429,8.163657692,301,477,778,,
517,11.67926429,8.163657692,301,801,1102,,
518,11.70098053,9.138470065,301,150,451,,
519,11.72938343,8.352624332,301,423,724,,
520,11.8093167,9.356449704,301,258,559,,
521,11.83169783,8.505295598,301,192,493,,
522,12.35784692,12.06515652,301,424,725,,
523,12.81146787,9.251208258,301,248,549,,
524,13.18734391,8.39602011,301,451,752,,
525,13.25830154,12.85793875,301,110,411,,
526,13.25830154,12.85793875,301,532,833,,
527,13.41837718,9.203765506,301,490,791,,
528,13.53348759,13.89443974,301,522,823,,
529,13.67152135,9.703128075,301,464,765,,
530,13.79307529,9.445277493,301,213,514,,
531,13.99422946,9.894527162,301,436,737,,
532,14.2175505,13.29512632,301,419,720,,
533,16.2353389,16.2812106,301,117,418,,
534,16.555945,11.28806722,301,168,469,,
535,16.62045615,11.18708792,301,499,800,,
536,17.90681284,11.77747024,301,190,491,,
537,18.45395169,11.30733287,301,214,515,,
538,18.53207313,11.24356909,301,891,1192,,
539,20.51504753,17.84799114,301,455,756,,
540,20.95145253,13.30468596,301,497,798,,
541,21.24485721,13.29859302,301,178,479,,
542,21.24485721,13.29859302,301,252,553,,
543,21.30532778,23.58357809,301,457,758,,
544,21.30532778,23.58357809,301,750,1051,,
545,21.62288257,13.58101598,301,682,983,,
546,21.77748067,19.13463772,301,605,906,,
547,21.80247874,18.58346655,301,488,789,,
548,22.00322138,13.78819969,301,602,903,,
549,22.42308336,18.98714335,301,383,684,,
550,22.75326086,25.55304415,301,328,629,,
551,23.5756749,14.50808464,301,278,579,,
552,23.93213399,27.03716295,301,412,713,,
553,25.09207394,22.45021043,301,479,780,,
554,25.09207394,22.45021043,301,478,779,,
555,25.26675718,23.39541794,301,426,727,,
556,25.41661385,21.63860761,301,218,519,,
557,25.54628103,25.25542213,301,461,762,,
558,25.89070809,23.26494079,301,0,301,,
559,26.08013104,16.27140135,301,437,738,,
560,26.08865464,28.12810922,301,223,524,,
561,26.20122256,23.78898732,301,415,716,,
562,26.20122256,23.78898732,301,999,1300,,
563,26.59258608,30.88175521,301,203,504,,
564,26.96781586,22.67033431,301,515,816,,
565,27.0683439,31.07560547,301,405,706,,
566,27.79568576,24.04767168,301,473,774,,
567,27.81529097,31.41049124,301,264,565,,
568,29.71916363,25.50549469,301,316,617,,
569,29.84083294,25.40515887,301,516,817,,
570,29.9035796,25.25289473,301,408,709,,
571,29.9035796,25.25289473,301,158,459,,
572,32.20133662,28.18579946,301,982,1283,,
573,32.90901234,33.16082791,301,984,1285,,
574,33.0630383,27.66131649,301,450,751,,
575,33.62607823,28.07021613,301,604,905,,
576,34.24150891,34.12375384,301,394,695,,
577,0,0,522,522,1044,,
578,2.066894084,1.58988788,522,110,632,,
579,2.066894084,1.58988788,522,532,1054,,
580,3.516315703,2.772276016,522,117,639,,
581,3.803105886,3.075892459,522,981,1503,,
582,4.463372078,3.339418964,522,419,941,,
583,5.368485444,4.776840126,522,424,946,,
584,7.763207869,6.340655272,522,258,780,,
585,8.197167189,6.461086218,522,150,672,,
586,8.551488133,6.28329428,522,179,701,,
587,8.826033112,7.319394343,522,292,814,,
588,10.59413073,8.944336053,522,161,683,,
589,10.64774792,11.24667453,522,971,1493,,
